Model,MAE,MSE,R2
Linear Regression,909.8480621438559,11757198.628727717,-1.9408246991792697
Random Forest,230.02284104934404,174662.57404800496,0.956311700771344
Extra Trees,229.9729230822439,212048.01610514233,0.9469604909412467
XGBoost,244.82315063476562,169600.484375,0.9575778841972351
